YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN
2011,1,9,15,231.57
2011,1,9,16,82.32
2011,1,9,17,42.63
2011,1,9,18,0.0
2011,1,9,19,0.0
2011,1,9,20,0.0
2011,1,9,21,0.0
2011,1,9,22,0.0
2011,1,9,23,0.0
2011,1,10,0,0.0
2011,1,10,1,0.0
2011,1,10,2,0.0
2011,1,10,3,0.0
2011,1,10,4,0.0
2011,1,10,5,0.0
2011,1,10,6,19.38
2011,1,10,7,117.44
2011,1,10,8,266.73
2011,1,10,9,455.68
2011,1,10,10,643.94
2011,1,10,11,540.23
2011,1,10,12,562.55
2011,1,10,13,629.04
2011,1,10,14,675.73
2011,1,10,15,509.57
2011,1,10,16,306.42
2011,1,10,17,103.52
2011,1,10,18,0.0
2011,1,10,19,0.0
2011,1,10,20,0.0
2011,1,10,21,0.0
2011,1,10,22,0.0
2011,1,10,23,0.0
2011,1,11,0,0.0
2011,1,11,1,0.0
2011,1,11,2,0.0
2011,1,11,3,0.0
2011,1,11,4,0.0
2011,1,11,5,0.0
2011,1,11,6,16.55
2011,1,11,7,104.27
2011,1,11,8,253.31
2011,1,11,9,420.8
2011,1,11,10,627.96
2011,1,11,11,654.84
2011,1,11,12,689.46
2011,1,11,13,701.14
2011,1,11,14,590.96
2011,1,11,15,470.07
2011,1,11,16,302.26
2011,1,11,17,99.7
2011,1,11,18,0.0
2011,1,11,19,0.0
2011,1,11,20,0.0
2011,1,11,21,0.0
2011,1,11,22,0.0
2011,1,11,23,0.0
2011,1,12,0,0.0
2011,1,12,1,0.0
2011,1,12,2,0.0
2011,1,12,3,0.0
2011,1,12,4,0.0
2011,1,12,5,0.0
2011,1,12,6,27.89
2011,1,12,7,201.26
2011,1,12,8,387.98
2011,1,12,9,480.09
2011,1,12,10,674.48
2011,1,12,11,758.16
2011,1,12,12,812.77
2011,1,12,13,801.3
2011,1,12,14,660.52
2011,1,12,15,475.25
2011,1,12,16,282.57
2011,1,12,17,98.82
2011,1,12,18,0.0
2011,1,12,19,0.0
2011,1,12,20,0.0
2011,1,12,21,0.0
2011,1,12,22,0.0
2011,1,12,23,0.0
2011,1,13,0,0.0
2011,1,13,1,0.0
2011,1,13,2,0.0
2011,1,13,3,0.0
2011,1,13,4,0.0
2011,1,13,5,0.0
2011,1,13,6,38.08
2011,1,13,7,247.38
2011,1,13,8,496.29
2011,1,13,9,681.33
2011,1,13,10,817.8
2011,1,13,11,868.37
2011,1,13,12,877.62
2011,1,13,13,765.28
2011,1,13,14,707.83
2011,1,13,15,531.79
2011,1,13,16,334.99
2011,1,13,17,127.8
2011,1,13,18,0.0
2011,1,13,19,0.0
2011,1,13,20,0.0
2011,1,13,21,0.0
2011,1,13,22,0.0
2011,1,13,23,0.0
2011,1,14,0,0.0
2011,1,14,1,0.0
2011,1,14,2,0.0
2011,1,14,3,0.0
2011,1,14,4,0.0
2011,1,14,5,0.0
2011,1,14,6,33.81
2011,1,14,7,230.02
2011,1,14,8,464.7
2011,1,14,9,676.38
2011,1,14,10,798.31
2011,1,14,11,896.59
2011,1,14,12,910.24
2011,1,14,13,862.53
2011,1,14,14,755.55
2011,1,14,15,577.9
2011,1,14,16,353.27
2011,1,14,17,132.23
2011,1,14,18,0.0
2011,1,14,19,0.0
2011,1,14,20,0.0
2011,1,14,21,0.0
2011,1,14,22,0.0
2011,1,14,23,0.0
2011,1,15,0,0.0
2011,1,15,1,0.0
2011,1,15,2,0.0
2011,1,15,3,0.0
2011,1,15,4,0.0
2011,1,15,5,0.0
2011,1,15,6,24.75
2011,1,15,7,135.93
2011,1,15,8,276.43
2011,1,15,9,461.12
2011,1,15,10,722.04
2011,1,15,11,845.37
2011,1,15,12,794.22
2011,1,15,13,764.93
2011,1,15,14,614.86
2011,1,15,15,504.61
2011,1,15,16,297.63
2011,1,15,17,116.02
2011,1,15,18,0.0
2011,1,15,19,0.0
2011,1,15,20,0.0
2011,1,15,21,0.0
2011,1,15,22,0.0
2011,1,15,23,0.0
2011,1,16,0,0.0
2011,1,16,1,0.0
2011,1,16,2,0.0
2011,1,16,3,0.0
2011,1,16,4,0.0
2011,1,16,5,0.0
2011,1,16,6,21.68
2011,1,16,7,143.09
2011,1,16,8,292.2
2011,1,16,9,409.52
2011,1,16,10,577.29
2011,1,16,11,665.98
2011,1,16,12,687.95
2011,1,16,13,686.32
2011,1,16,14,433.08
2011,1,16,15,358.52
2011,1,16,16,194.9
2011,1,16,17,64.58
2011,1,16,18,0.0
2011,1,16,19,0.0
2011,1,16,20,0.0
2011,1,16,21,0.0
2011,1,16,22,0.0
2011,1,16,23,0.0
2011,1,17,0,0.0
2011,1,17,1,0.0
2011,1,17,2,0.0
2011,1,17,3,0.0
2011,1,17,4,0.0
2011,1,17,5,0.0
2011,1,17,6,13.99
2011,1,17,7,65.37
2011,1,17,8,182.11
2011,1,17,9,222.24
2011,1,17,10,305.2
2011,1,17,11,400.38
2011,1,17,12,632.41
2011,1,17,13,605.2
2011,1,17,14,619.17
2011,1,17,15,526.94
2011,1,17,16,300.13
2011,1,17,17,108.84
2011,1,17,18,0.0
2011,1,17,19,0.0
2011,1,17,20,0.0
2011,1,17,21,0.0
2011,1,17,22,0.0
2011,1,17,23,0.0
2011,1,18,0,0.0
2011,1,18,1,0.0
2011,1,18,2,0.0
2011,1,18,3,0.0
2011,1,18,4,0.0
2011,1,18,5,0.0
2011,1,18,6,25.15
2011,1,18,7,153.73
2011,1,18,8,287.11
2011,1,18,9,514.06
2011,1,18,10,741.75
2011,1,18,11,765.16
2011,1,18,12,815.49
2011,1,18,13,752.53
2011,1,18,14,635.53
2011,1,18,15,490.05
2011,1,18,16,297.94
2011,1,18,17,113.15
2011,1,18,18,0.0
2011,1,18,19,0.0
2011,1,18,20,0.0
2011,1,18,21,0.0
2011,1,18,22,0.0
2011,1,18,23,0.0
2011,1,19,0,0.0
2011,1,19,1,0.0
2011,1,19,2,0.0
2011,1,19,3,0.0
2011,1,19,4,0.0
2011,1,19,5,0.0
2011,1,19,6,30.33
2011,1,19,7,227.91
2011,1,19,8,454.43
2011,1,19,9,656.41
2011,1,19,10,782.27
2011,1,19,11,856.23
2011,1,19,12,852.62
2011,1,19,13,822.36
2011,1,19,14,674.33
2011,1,19,15,528.97
2011,1,19,16,290.31
2011,1,19,17,106.02
2011,1,19,18,0.0
2011,1,19,19,0.0
2011,1,19,20,0.0
2011,1,19,21,0.0
2011,1,19,22,0.0
2011,1,19,23,0.0
2011,1,20,0,0.0
2011,1,20,1,0.0
2011,1,20,2,0.0
2011,1,20,3,0.0
2011,1,20,4,0.0
2011,1,20,5,0.0
2011,1,20,6,23.29
2011,1,20,7,174.32
2011,1,20,8,382.98
2011,1,20,9,650.59
2011,1,20,10,801.7
2011,1,20,11,859.95
2011,1,20,12,842.06
2011,1,20,13,763.37
2011,1,20,14,631.03
2011,1,20,15,450.27
2011,1,20,16,258.87
2011,1,20,17,98.0
2011,1,20,18,0.0
2011,1,20,19,0.0
2011,1,20,20,0.0
2011,1,20,21,0.0
2011,1,20,22,0.0
2011,1,20,23,0.0
2011,1,21,0,0.0
2011,1,21,1,0.0
2011,1,21,2,0.0
2011,1,21,3,0.0
2011,1,21,4,0.0
2011,1,21,5,0.0
2011,1,21,6,27.09
2011,1,21,7,230.48
2011,1,21,8,462.45
2011,1,21,9,579.42
2011,1,21,10,762.5
2011,1,21,11,811.51
2011,1,21,12,754.49
2011,1,21,13,694.72
2011,1,21,14,580.99
2011,1,21,15,436.48
2011,1,21,16,247.0
2011,1,21,17,98.26
2011,1,21,18,0.0
2011,1,21,19,0.0
2011,1,21,20,0.0
2011,1,21,21,0.0
2011,1,21,22,0.0
2011,1,21,23,0.0
2011,1,22,0,0.0
2011,1,22,1,0.0
2011,1,22,2,0.0
2011,1,22,3,0.0
2011,1,22,4,0.0
2011,1,22,5,0.0
2011,1,22,6,31.12
2011,1,22,7,210.48
2011,1,22,8,419.16
2011,1,22,9,643.93
2011,1,22,10,747.05
2011,1,22,11,845.27
2011,1,22,12,808.61
2011,1,22,13,734.87
2011,1,22,14,581.93
2011,1,22,15,383.45
2011,1,22,16,211.25
2011,1,22,17,83.7
2011,1,22,18,0.0
2011,1,22,19,0.0
2011,1,22,20,0.0
2011,1,22,21,0.0
2011,1,22,22,0.0
2011,1,22,23,0.0
2011,1,23,0,0.0
2011,1,23,1,0.0
2011,1,23,2,0.0
2011,1,23,3,0.0
2011,1,23,4,0.0
2011,1,23,5,0.0
2011,1,23,6,15.27
2011,1,23,7,100.62
2011,1,23,8,245.67
2011,1,23,9,531.36
2011,1,23,10,668.52
2011,1,23,11,735.27
2011,1,23,12,717.8
2011,1,23,13,722.92
2011,1,23,14,617.9
2011,1,23,15,473.98
2011,1,23,16,265.09
2011,1,23,17,93.98
2011,1,23,18,6.36
2011,1,23,19,0.0
2011,1,23,20,0.0
2011,1,23,21,0.0
2011,1,23,22,0.0
2011,1,23,23,0.0
2011,1,24,0,0.0
2011,1,24,1,0.0
2011,1,24,2,0.0
2011,1,24,3,0.0
2011,1,24,4,0.0
2011,1,24,5,0.0
2011,1,24,6,20.29
2011,1,24,7,151.87
2011,1,24,8,331.24
2011,1,24,9,525.18
2011,1,24,10,706.94
2011,1,24,11,741.1
2011,1,24,12,806.91
2011,1,24,13,803.95
2011,1,24,14,624.45
2011,1,24,15,442.95
2011,1,24,16,256.88
2011,1,24,17,96.98
2011,1,24,18,6.8
2011,1,24,19,0.0
2011,1,24,20,0.0
2011,1,24,21,0.0
2011,1,24,22,0.0
2011,1,24,23,0.0
2011,1,25,0,0.0
2011,1,25,1,0.0
2011,1,25,2,0.0
2011,1,25,3,0.0
2011,1,25,4,0.0
2011,1,25,5,0.0
2011,1,25,6,23.54
2011,1,25,7,180.1
2011,1,25,8,415.51
2011,1,25,9,662.8
2011,1,25,10,801.71
2011,1,25,11,761.94
2011,1,25,12,731.92
2011,1,25,13,699.23
2011,1,25,14,527.38
